label,text
Inform,but for now they want everybody to know that we value our employees dedication
Thank,thank you
Arrange,test the shelves make sure they um
Criticize,jonah why are you filming this
Care,hey dina everything okay
Agree,yep
Joke,you could eat yourself to death and no one would care
Introduce,here take my card theres a link to the web
Advise,maybe you should just mute her
Oppose,look i know you like to be everyones but thats not how i live my life
Introduce,its a traditional honduran food
Inform,so im still gonna be working with you guys
Complain,i am dealing with a lot today
Advise,cant you just cover it up
Praise,oh thats so sweet
Thank,yeah thank you
Inform,shes out of commission for the rest of the day
Thank,thanks
Advise,you have to have a party
Praise,classy move zephra
Criticize,this man is harassing me
Advise,for instance i think we should stagger our shift start times
Complain,i mean dusty mint stinks
Apologise,sorry that sounded really callous
Ask for help,sandra could you bring home some magazines
Praise,nice job
Care,whats wrong with your head
Complain,we havent even gotten a chance to talk yet
Care,whats going on here
Advise,what if we call it the octagon
Comfort,amy might have abandoned us a little but were fine
Care,need any help with whatever this is
Criticize,blaine is sexy but he is not a good manager
Inform,well i am gonna show her just how many items
Apologise,sorry
Criticize,that guys always making up stuff about people
Complain,i have been nervously holding my pee for six hours
Inform,whoa the nba just announced theyre suspending the season
Complain,also whats with the weirdly intimate stares
Complain,damn it dina you had one job
Inform,attention employees uh listen up
Inform,hey amy i dropped my mask
Comfort,well im sure youll figure something out
Joke,yeah just traveling the world shirtless
Complain,hey man why did you have to point out this stupid halloween song
Complain,why did this happen am i a bad person
Greet,hey jerry
Prevent,no no no no no dont help him
Apologise,hey guys sorry to give you a scare there
Flaunt,my jewish bird joke is so good
Thank,thanks
Introduce,game of thrones season one
Agree,okay
Advise,how about everybodys got roller skates
Greet,hey
Praise,thats thats a good thing
Arrange,you go get ready
Advise,perhaps going forward we could all focus on on the issues that we have here at at work
Thank,oh thank you
Inform,hey so i guess were just out of green beans
Inform,its gonna be all about the moon before you know it
Inform,so were gonna let the people decide
Leave,ill get right on it sorry boss
Apologise,anyway the point is im just so sorry
Inform,oh and youre not allowed to shop here anymore
Inform,ill reach out to the manufacturer
Thank,thank you
Complain,while i waste my talents in the vision center
Criticize,then why were you yelling at him when it happened
Complain,this same song keeps playing over and over again and its starting to drive me crazy
Leave,um im gonna go make a call
Prevent,you have got to stop watching this
Criticize,i am in the middle of something dummy
Complain,the time difference with ghana is so tricky
Inform,and my liver is on high alert
Advise,you just need to go up to her and go
Introduce,im dr sidian im the attending on the floor
Advise,look sandra i think maybe she needs to hear it from you
Prevent,yo dont write that down
Arrange,and apologize to customers when these two cant hack it
Inform,but dont let it wear you out
Inform,and on behalf of everyone in america we welcome you
Inform,this week enjoy off
Care,everything okay
Apologise,im sorry guys
Complain,i think ellen degeneres dances too much
Comfort,oh listen you you do not have to worry about that okay
Complain,and i think its pretty messed up
Inform,okay then contest back on
Care,jonah what are you doing
Inform,zephra has sent us a little break room upgrade
Comfort,but youre going to be fine
Comfort,who cares who cares dont worry about it
Complain,its unprofessional
Inform,and i just wanted to tell you that dina passed away
Praise,oh that is awesome
Introduce,um its the display for the new zephra products
Inform,all right guys well this is your last chance
Criticize,well technically you can suck it
Inform,happy easter
Complain,why is everybody being so cynical about this
Praise,oh that does sound nice
Complain,thats embarrassing
Criticize,you would know if you didnt make me skip to the end of the story
Advise,its best to just pretend youve passed out okay
Inform,okay here are your lanyards and your room keys
Complain,the inks starting to turn our butts weird colors
Praise,mm hmm and his proportions are a dream
Complain,i think i voted wrong
Advise,so i say turn every golf course into a solar farm
Apologise,sorry for accidentally texting you that nude
Complain,our people are struggling amy
Complain,im just a dumb useless butt
Advise,why dont we set some ground rules
Agree,yeah i think so
Ask for help,excuse me where do you keep your transformers
Arrange,youre taking a trip to bruise town
Inform,zephra is just our new parent company
Prevent,okay no no mateo no
Flaunt,see this is easy for me
Leave,yep they gotta go
Care,you doing okay with all this
Inform,hes a scam artist
Complain,this whole interview process was a fake
Leave,all right well ill see yall later
Advise,i just hope that you dont go around
Agree,fine
Inform,for a very special parade
Complain,my feet are so swollen i can barely stand
Complain,i havent even been able to go on instagram
Inform,i just found out that um i got a work permit
Criticize,you are grossly incompetent and unpleasant to be around
Inform,effective immediately cloud will no longer keep black haircare products in locked cases
Inform,and i do have an update on the breadsticks
Taunt,but you havent because youre afraid
Complain,im so fricking cold
Care,did you get hurt before
Complain,this is a pyramid scheme
Inform,hey dina your dads looking for you
Taunt,do you want us to give you a trophy
Comfort,anyway dina dont worry about it
Complain,i am wearing frozen diapers
Greet,hey sweetie hey garrett
Criticize,you stole my mark
Oppose,oh i dont think its that
Arrange,molly hand these out please
Care,okay cool cause you seemed uncomfortable
Advise,you should go find justine
Flaunt,on behalf of store it is my privilege
Praise,god youre a fast learner
Taunt,your faces look like butts
Complain,i i like it here that other hospital was snobby
Advise,how about we keep this party train rolling
Praise,youre gorgeous really for your cohort
Inform,the margs are here
Leave,i will see you uh in a little bit
Agree,yeah that sounds fun im in
Complain,i got clipped by a kia on the highway amy
Criticize,you shoved me amy what is wrong with you
Taunt,you win it in a raffle or something
Greet,hello
Ask for help,can you please switch me anywhere
Agree,yes
Thank,thank you for those kind words jonah
Agree,oh absolutely without a doubt
Complain,feels pretty bad
Inform,spring frozen yogurt flavors check
Thank,oh wow yeah thanks
Flaunt,but i logged steps
Complain,im just exhausted and sore and hormonal
Thank,oh thanks
Inform,now weve noticed some of your masks are getting dingy
Introduce,that this is made out of polyvinyl chloride
Flaunt,i even went out and bought a camera phone
Introduce,im gerry mander these are all gerrymander
Care,hey glenn how you holding up
Oppose,i was definitely not flirting
Taunt,im carol im a jealous psycho stalker who cant take
Leave,okay im going to hit the little cowboys room
Comfort,but dont worry i have a solution
Advise,give them a voice you know
Inform,okay we have no idea how long were gonna be stuck here so we need to ration our food
Complain,what so because im manager i have to help people poop their emotions all over the place
Complain,because corporate sucks and everybody always sucks
Praise,good
Inform,okay um some good news
Arrange,so starting tomorrow you will do what i tell you to do
Comfort,glenn its its going to be okay
Criticize,youve never been sarcastic with me before
Praise,these are all excellent ideas thank you
Advise,you could always return this one for a safer car seat
Joke,filled up on bread is gonna go on her gravestone
Taunt,what i need from the two of you is less of this
Praise,really fresh perspective
Greet,hi
Joke,that will fit jerrys big ol melon
Arrange,amy you need to go change into leather sandy right now
Apologise,hey you guys im sorry bo
Advise,well why dont you just hire somebody on busybee
Complain,theyre gross
Prevent,carol you cant do that
Arrange,sandra block her with your body
Advise,you just need to find a way to show maya that you mean business
Inform,yes its one of cloud s highest honors
Comfort,look its its almost done you dont have to worry
Criticize,were a little delayed because amy was busy mean girling me
Inform,so i ran your social security
Complain,what a stupid waste of a first question
Inform,sayid doesnt want to work in housewares
Apologise,yeah oh hey i apologize for jonahs murder joke
Praise,youre a good friend
Inform,i am stepping down to spend more time with my family
Inform,dina you have justine and me at the same register
Agree,fine
Taunt,on whatever dumb metaphor his costumes supposed to be
Complain,we dont have room for that
Praise,she seems really nice
Criticize,how is stealing packages from poor people
Complain,i was legitimately offended
Prevent,wait wait
Inform,green beans are now the normal price
Care,ooh amy hows union stuff going
Praise,but ive never seen anyone worse at this job
Arrange,all right garrett give everyone their money back and then all of you get back to work
Greet,hey man
Introduce,this is who were visiting
Complain,and im wearing pajamas and im just a mess
Ask for help,hey mateo can i ask you something
Complain,you know what im tired of everybody thinking of me as just your boyfriend okay even garrett sees me like that
Arrange,just pick a conditioner and keep moving
Greet,hey
Apologise,yeah no im sorry
Leave,im going to the chesterfield store
Inform,your total is
Comfort,take a breath man youre not getting fired
Prevent,stop saying that all moms are full time moms
Apologise,im sorry for the jargon jonah
Complain,its the way of the world the rich get richer
Inform,so your new desk is gonna be here in three days
Comfort,relax i honestly think this is all gonna work out
Arrange,okay mateo on three ready
Advise,the zephra corporate guidelines and look up what it says
Praise,its a great color
Inform,we have to put out red label warnings
Praise,he seems super cool
Praise,dina it went great
Thank,yes thank you for all the help
Inform,dina assigned me to hang out with you today
Joke,me amy me prep for k
Advise,so youre gonna have to find someone yourself to cover
Comfort,okay okay its its its gonna be okay
Comfort,its not your fault that you dont get the ins and outs
Leave,well im gonna go do something else then
Comfort,relax they vet these guys for years
Advise,you should really change that back dina
Comfort,dont worry im not gonna squirt anyone
Criticize,dina you cant just text me something like that
Advise,okay well how about weekends off
Complain,and they get paid ten times as much as us
Praise,well its still very cool
Advise,you should meet him
Inform,theres a blank spot where you can write in your name
Oppose,i dont consent to this conversation
Complain,oh i dont see how that could possibly be true
Care,well sounds like you got a lot going on
Complain,it doesnt even matter
Taunt,or do your customers also prefer cashiers with tendinitis
Advise,why dont you read the note
Apologise,oh im sorry
Praise,but then we just did a bunch of whip its in the djs van and it was great
Apologise,yeah im sorry but theres no order here
Inform,the prizes are in the cereal
Thank,yeah thanks im im just browsing today
Comfort,dont feel guilty
Flaunt,and so i delegated and i problem solved
Prevent,wait what are you doing dont dont put it back
Care,sure youre gonna be okay
Introduce,its got a secret ingredient
Leave,i left all my felt tips uncapped in the security office and those are just gonna be drying out like crazy so i just need to go
Inform,all right everybody you did it
Taunt,you look way too happy
Apologise,okay im sorry proceed
Thank,thank you
Praise,yeah actually it would be really helpful
Introduce,its called you can do it
Praise,oh its so clean and comfortable
Criticize,youre the ones who have been sitting in here talking about me behind my back
Ask for help,oh finally come get me down
Praise,thats great
Apologise,im so sorry sandra
Introduce,uh im amy sosa
Thank,thank you
Comfort,whoa calm down
Prevent,oh my god dont touch it
Inform,this place has line dancing at
Praise,um well i like when jerry cooks me my favorite meal
Oppose,absolutely not
Leave,we should well just go
Comfort,dont worry
Inform,security office now
Complain,i just dont love handing giant corporations a way to get my address my contacts and all of my passwords
Leave,see you at glenns show
Complain,oh come on give me some credit
Care,hows curbside going
Inform,okay were gonna be in this meeting forever
Criticize,you lied about mental distress
Inform,okay they left the break room
Inform,now cloud s lawyer will also be present
Taunt,how did you become manager
Oppose,engagement party is not a maid of honor duty
Arrange,sandra no you leave it up
Complain,but instead he mocks me behind my back
Care,how do you feel justine
Inform,here to remind you
Flaunt,anyway im definitely the legal kind
Comfort,no no take your time
Prevent,can you stop doing that
Care,so howd it go
Agree,yeah sure
Apologise,listen im im really sorry
Complain,well too bad
Inform,theyre towing it right now
Apologise,im sorry
Leave,i might have to go to the mens room first
Agree,yes like a parlor
Apologise,again we are so so sorry
Inform,unfortunately the last spot has been filled
Arrange,okay cheyenne sandra youre serving
Advise,walk away so they know youre serious
Inform,means youre fired
Advise,you need to move on
Thank,lifesaver
Prevent,oh whoa no no no dont actually scoot in
Advise,why dont we just give them some cash
Inform,it has recently come to my attention that there are some men in the store who have some issues
Thank,hey thanks for taking a chance on me
Joke,feels like im buying a gremlin
Advise,why dont you use the lactation room
Introduce,glenn this is dr brian patterson veterinarian and boyfriend
Inform,actually the latest articles are saying actually the latest articles are saying that washing your hands isnt enough
Thank,thank you so much ooh gift card
Apologise,oh god yeah i totally forgot sorry
Complain,i was giving you amazing advice and you mocked me
Criticize,a part of me feels like you guys are taking this a little too far
Complain,i hit some ice and almost skidded into a pet cem
Agree,its a true thing
Inform,he was gonna blab to the lawyers about our work arrangement
Complain,cause we were really bad
Complain,but people were really judge y
Arrange,take a bath with the dogs later
Prevent,wait no no no you cannot go through peoples
Introduce,its my ankle monitor
Criticize,hey man this guy shreds ass
Criticize,what the hell you said you typed words a minute
Oppose,thats just not true
Prevent,oh god sandra stop please
Thank,thank you
Oppose,its just a friendly call sandra not an opportunity
Criticize,garrett totally stole my look and no one is talking about it
Introduce,it was just sitting on her shoulder like a parrot look
Complain,thats not fair im blowing my life up for you
Praise,this has been great you have a really fun store
Flaunt,i even got a plaque that said dads number one sales boy
Praise,you have a gift for logistics
Apologise,im sorry your hair looks fun
Thank,thank you so much dan for sharing um but
Complain,like super annoying for me
Criticize,i mean you say you dont play favorites but then you give the sweet assistant job to your brother in law
Inform,dont forget to sign the guestbook
Advise,you dont have to keep pretending to be an employee
Inform,well heres my resume
Praise,these pictures make me jealous
Advise,we get her to do something else thats better than your wedding
Complain,the cowboy hat was itchy
Apologise,oh sorry im a little late where do you want me
Advise,at least give them anti fatigue mats
Complain,its a lot of pressure
Thank,for giving me my first chance
Introduce,kyle sawyer generosity manager
Complain,exhausting
Care,has she been acting weird
Greet,hey sandra
Apologise,im sorry
Apologise,oh sorry
Introduce,some fun socks
Arrange,mateo set up the obstacle course
Complain,damn it i have to make up for lost time
Advise,we should warm up by combining body heat
Inform,now im gonna pass the mic around
Prevent,im not gonna let you treat a baby this way
Taunt,oh jerry no ones gonna notice if youre not there
Criticize,this guys driving away all my business and you know how
Introduce,this card has a frog and a bear kissing each other
Ask for help,amy my babys future is on the line
Arrange,back to work
Taunt,you are a loud mouthed domineering crazy little
Arrange,dina go get that letter
Praise,you know it was actually really cute
Thank,but i really appreciate all of your support
Care,is she still with brian did something happen
Greet,hey hey matt oh wow
Joke,i am not doing a latin accent to sell some queso
Comfort,but uh hey at least youre getting yourself back out there
Praise,oh yes shes marvelous
Ask for help,hey you busy
Arrange,we need to get junk in those trunks
Complain,they love money and they dont care if we die
Criticize,youre just as bad as glenn
Complain,this is a stupid initiative anyway
Comfort,calm down glenn calm down
Introduce,no thats my nephew hes my lock screen
Greet,maya
Taunt,need some glasses for your ears now too old man
Complain,i mean amy and dina run the frickin store
Praise,seriously garrett this is gonna be awesome
Leave,i mean i should probably get back to my office
Arrange,kelly youre in charge
Taunt,oh youve given this foot chopper a lot of thought
Complain,oh come on damn it
Praise,looks good man youre talented
Inform,hey if any of you curbside folks want to trade places
Introduce,took some doing but these are solid
Inform,well be here as long as it takes
Thank,hi amy thanks for looking out for me all these years
Introduce,this is cheyenne our head of security
Oppose,yeah but were not gonna wrap it
Praise,awesome yeah
Advise,might i suggest you not look up at the ceiling tonight
Apologise,agh sorry guys
Comfort,um noam dont cry
Apologise,um uh im sorry
Praise,hey nice lab coat
Complain,yeah its too bad
Complain,you know the service around here is spotty
Thank,i know i figured thank you
Leave,um could you excuse me for just a minute
Complain,god i hate that guy
Inform,hey guys you wont be hearing from me for the next five hours
Agree,ha yeah it was
Prevent,harrison stop burping into the intercom
Care,anyway hows it going have you raised the wage yet
Praise,oh thats cool
Arrange,so sandra youre cleaning carts
Criticize,guys she is not listening to us
Greet,hey justine
Flaunt,why ive been able to earn my employees respect
Praise,i just wanted to say how very proud i glenn am of you
Complain,i think i might be going crazy
Taunt,while poor little rosie sits at home with an old schoolmarm
Care,whats up with the tree
Apologise,we were all really out of line
Apologise,okay sir im sorry
Praise,wow thats a good run
Thank,glenn thank you
Criticize,you did hit mateo for being undocumented
Oppose,but no i dont like criminals okay
Introduce,look this is the most expensive merch in the store
Thank,thanks for checking in though
Inform,youre fired
Advise,right but we could just buy more walkies
Flaunt,i got the super sharer badge
Comfort,yup dont worry about me
Greet,hi
Complain,pretty soon people are gonna have to pee in bottles
Joke,oh now you just look like a sad clown
Arrange,okay the seating cards are placed
Arrange,ill just have carol work with me for today
Complain,but did any of you listen to me
Agree,fine okay
Criticize,jonah was the ringleader
Greet,oh oh glenn glenn glenn
Introduce,havarti great cheese on a sandwich
Comfort,oh itll be fine
Praise,its really cute
Introduce,it was cheyenne she took the care packages
Taunt,aww man then i wont get to hear jonah lecture us
Inform,we need someone to replace me as floor supervisor
Joke,youre like one of those monks in tibet
Inform,okay guys so this list is to come up with issues that are affecting black customers and employees
Ask for help,but first can you sneak me a burger
Thank,thanks so much
Thank,i mean you help obviously and i so appreciate it
Criticize,yeah amy was just the one sitting watching us in the dark without our consent
Introduce,anti looting procedures
Praise,oh nice jer
Inform,zephra just sent a mass email saying that cloud employees now get off
Comfort,we all wish we could just rip that pain out of your body
Complain,that this company was extorting these people
Inform,attention cloud shoppers
Praise,well youre lucky you pull it off
Praise,fantastic life of the party
Complain,i do not like small talk and i hate smiling all day like an idiot
Comfort,relax im not going to pressure you
Comfort,yeah okay real quick i dont want you to panic
Praise,you are a real hero you know that
Apologise,sorry you just said that sorry thank you
Apologise,im so sorry
Agree,yes same me too
Inform,uh excuse me attention everybody
Ask for help,jonah get my back
Criticize,oh yeah we do we all hate you
Greet,oh wow okay nice to meet you
Oppose,what no i meant like for the rest of like however long this is
Prevent,oh you dont need to count these
Thank,all right thank you
Ask for help,im trying to get a tribute band and i need your opinion
Leave,okay im gonna go check on that
Praise,no no youre obviously a great manager
Complain,what am i gonna tell my parents
Inform,cheyenne will be handing out new protective equipment
Praise,oh this is genius
Thank,thats great thank you
Praise,you are really cooking up something good
Criticize,liar
Flaunt,dont you dream about someday having what jerry and i have
Praise,the uh easter decorations all look really great
Arrange,yep im just having eric install some shelves
Praise,shes hard working and dedicated and um uh very very serious about security
Criticize,you fart face
Arrange,grab a pair of gloves and head over
Advise,why dont you put on the headset
Greet,hey carol
Care,whats going on
Greet,oh hey guys
Ask for help,let me try this all right
Apologise,oh im sorry
Comfort,glenn dont worry about it
Oppose,oh no its not a game
Praise,oh hes great yeah hes so nice
Criticize,carol that is so savage
Praise,good job on the display
Thank,thank you thats very nice of you
Inform,youre gonna be deposed by carols lawyer today
Inform,im emphasizing regularly scheduled
Advise,maybe you could help jerry set this up
Complain,that sounds like a real bad idea
Complain,dina some of these orders are insane
Thank,thank you
Complain,i didnt know people took their breaks out here
Prevent,oh dont make this about sexism
Thank,thank you
Oppose,its not on the list
Comfort,its not even your fault
Greet,hi sandra
Greet,hey randy
Oppose,no i mean yes but not for the reasons you think
Inform,your manager is listening
Ask for help,get me a drink
Inform,were gonna take a break and clear the floor
Inform,im picking you up at a m tomorrow
Complain,oh i would do anything for some crack right now
Inform,attention cloud employees this is your manager
Inform,something crazy is happening
Complain,marcuss tattoo its way harder than i thought
Thank,thank you for your donation
Praise,cheyenne youre young and hot
Complain,i dont know why you guys lock up the razor blades
Complain,i hate the the stupid games and the the dumb decorations
Ask for help,can i have my gift card please
Oppose,uh no glenn would never do anything like
Inform,okay glenn texted that hes rubbing a little latte
Inform,lets just help ourselves to whatever we need
Care,hows the interview going
Complain,okay i cant do this anymore
Prevent,no no no no no no no whoa
Praise,hes eugene hes the best
Comfort,okay dont be mad
Joke,the old lady who spits at her on the bus
Inform,laptops are for customers
Praise,i just meant he looked like a really good dad
Arrange,oh please sandra take it down
Leave,all right ill be back in a few
Praise,man cheyenne really stepped it up
Care,im sorry are you okay
Praise,its really nice
Inform,attention employees make your way to the break room
Apologise,okay i can see that sorry to waste your time
Arrange,okay back to work
Leave,ill uh just get out of here
Inform,cute teddy bears are off
Introduce,so tony sandra is from hawaii
Leave,cheyenne lets go
Greet,hey folks
Complain,im feeling a lot of mental distress
Thank,thanks for the company
Ask for help,i just needed some help with uh paperwork you know
Arrange,please have a seat
Criticize,i really think youre blowing this out of proportion
Complain,but making men feel better is not my job
Introduce,and hes floor supervisor now
Arrange,okay so sara i need you to keep cycling out the bins
Complain,i hate them
Thank,thanks i like em too
Arrange,i need you to act casual
Apologise,cause id like to apologize and offer you all
Apologise,hey sorry to interrupt your surprise adoption
Apologise,oh hey guys sorry
Oppose,im not dumb
Thank,yes thank you so much
Taunt,i shouldnt have to leave because youre a bad manager
Flaunt,i can make it spin forever
Comfort,glenn youre not going to go to prison okay
Taunt,youre showing your age a little
Inform,or you guys can just use your phones for all that stuff
Ask for help,just come on jonah please do the voice
Complain,im also having a bad time
Care,are you crying blood
Joke,a little st patricks day humor there for you
Flaunt,well id like to think ive matured over the years
Complain,i havent worked in three months my alimony is late my ex wifes lawyers are getting very threatening
Apologise,and im sorry about that
Arrange,collect everything on that order
Introduce,thats how filipinos celebrate easter
Prevent,so stop staring at her
Inform,i have wood floors it gets dusty
Leave,okay im gonna go bye tony
Comfort,okay well maya cant fire you
Advise,or we could tape a fifth of fireball
Advise,probably gonna have to take that plant outside for sun
Introduce,its kind of shaped like a triangle
Prevent,please stop this is hurting me
Complain,but then people just keep asking me about it which is making me worry about it and
Inform,my job is keeping the bride safe
Advise,you could mix grapefruit with espresso
Thank,thank you marcus
Complain,this is the most boring secret ive ever had to live with
Ask for help,what do i do
Criticize,you haul us down here just to give us a bunch of junk
Leave,i gotta go
Arrange,no youre gonna stand outside
Taunt,i thought you were a dirty pile of laundry
Complain,i find her extremely annoying
Praise,well i am really proud of you
Inform,okay listen ultimately it is your call
Thank,thanks i like yours too
Inform,we are switching over electronics from supercloud to the new zephra products
Greet,scuse me scuse me hi jonah
Criticize,but really you were only using me to get to bo
Care,sandra what is going on in there
Care,hows your first day going girl
Introduce,um oh uh mateo this is my brother eric
Praise,that sounds wonderful
Thank,thank you so much for including me
Apologise,i just want to apologize
Praise,carols doing pretty well
Greet,oh amy there you are
Agree,right yeah
Care,you seemed pretty beefed
Inform,look we dont need an h r rep hanging around here auditing us
Leave,ill go figure out how to not send them away empty handed
Apologise,okay im sorry i just i panicked
Complain,well i guess ill go get my pumpkin spice salsa by myself like its
Inform,heads up spill in produce
Thank,aww thats pretty thank you
Care,oh what do you see now
Care,how about some new options in our vending machines
Introduce,its its kira moon zephras ceo
Greet,hey
Flaunt,im one of the smartest people in the store
Advise,so be a gentleman go with the lights out
Taunt,oh she probably thinks shes so great
Inform,its now time for the father daughter dance
Complain,man im tired
Comfort,its gonna be okay jonah
Complain,i cant live with that kind of guilt
Complain,this is already too much work
Ask for help,can you get me a salami sandwich
Arrange,now kelly i want you to tell jonah what youre feeling
Criticize,you dont know how to wrap a gift
Agree,yeah
Apologise,yes im so sorry
Flaunt,but im more perceptive than most
Prevent,no no no no no
Advise,what if we gave them all computers you know
Complain,this is so unfair
Thank,thank you marcus
Apologise,did i miss a meeting sorry
Praise,i feel like we really moved the needle today guys
Praise,it really is gorgeous
Leave,nice to meet you
Praise,you are a great manager
Inform,celine dion tickets go on sale today
Prevent,im gonna stop you right there
Advise,maybe you should just leave without her
Inform,hey guys im pretty sure there are some sections
Introduce,hes her brother
Inform,hey amy uh janet is gonna say that we invaded her privacy
Inform,you made your point
Leave,um im gonna i gotta get back to work
Flaunt,yeah my hair is silkier my skins glowing
Complain,oh no i hate to hear that
Thank,yeah and thank you
Apologise,sorry
Complain,a chunk of my hair fell out and i will not be bald for my wedding
Thank,jonah thank you for believing in me
Criticize,this is her fault
Leave,excuse me just one second
Inform,oh wow jonah had a little comment shocking
Praise,wow that makes so much sense
Agree,oh sure no problem
Introduce,its your boy kenan bravo
Criticize,man whyd you do that stupid google search
Apologise,im so sorry you have to witness this maya
Praise,they do great work im a fan really
Arrange,do what i did
Criticize,hes been yelling at people all day like he runs the store
Complain,but they have me on these calls all day every day
Prevent,sandra dont touch it
Advise,just ask your friends to chip in
Praise,you are essential and the true heroes
Greet,so nice to meet you ive heard so much about you
Flaunt,that im the best in the class
Prevent,no stop whining
Praise,that was just beautiful jerusha
Care,randy what are you doing here
Criticize,and kelci dumped you because youre a jackass
Criticize,what the hell can you do
Introduce,i mean its got over programmable greetings plus you can change the background
Thank,wow thank you so much
Apologise,well im so sorry
Advise,and every zone captain should have a walkie talkie
Taunt,poor garrett pining after a woman
Inform,uh total id say youre looking at for repairs
Criticize,all the times that you hurt my feelings
Taunt,no i am mad youre an idiot
Advise,we should have go back carts for each department
Complain,dang they take this crap way serious
Apologise,sorry sorry i im just going to
Advise,itll be easier on yourself if you confess
Praise,shh guys best part
Apologise,i didnt mean to upset you or kelci
Comfort,oh no come on this is nothing
Inform,they sent over a very detailed step by step
Apologise,im sorry kelly i
Inform,and i wish there was something i could do to make it up to the black employees
Agree,huh right yeah
Greet,oh hey glenn
Oppose,look im not saying it like its a bad thing
Introduce,oh dad this is my boss amy show her your belt buckle
Advise,maybe you should give them some space
Leave,okay im gonna pee and come back
Agree,oh absolutely
Comfort,not your fault son
Comfort,okay dina relax its just a surprise date
Inform,easter is upon us
Inform,you have to keep them on they are not waterproof
Care,whats going on is everything okay
Joke,oh boy mr hilarious at work
Criticize,you are the most petty jealous and bitter person
Praise,i am really proud of the woman youve become
Thank,thank you
Prevent,no no you cant tell my parents
Introduce,its sandra kaluiokalani
Agree,yeah
Criticize,this guy does not support our troops
Criticize,i asked you for candy cane
Criticize,jonah your last order took minutes
Inform,the whole job is being a liaison to cloud
Praise,ugh its so good
Flaunt,we get all this free stuff
Praise,i i saw that memo too good job glenn
Flaunt,i have my ways
Arrange,mateo go take over for sayid
Care,what are you writing
Inform,i just want you to know that if you donate inside you get a gift card instead of nothing
Arrange,garrett youre only giving packages to people with wristbands
Apologise,and again carol i am so sorry
Joke,oh i thought i saw a manatee on the side of the road
Leave,to the back i have work to do
