emotion,utterance
neutral,yeah no thats what i was thinking
anger,no but youre questioning my method
neutral,hello joey
disgust,huh rach i got to say it s gonna take a lot of money for me to go out on a date with a dude
surprise,i cant believe youd rather go out with him than me
fear,what
surprise,bobs a mom
anger,no no you cant arrest me no i wont go back i wont go back to that hell hole
disgust,ok would people stop drinking the breast milk
disgust,look not that i enjoy talking about people who i went to high school with cause i do but umm maybe we could talk about something else
disgust,y know what i don t know how comfortable i am going to see how hot the sex is between some guy and your girlfriend
fear,i mean there s no way joey s gonna make it in time
neutral,i m not saying it has to be right now but i m starting to think that we can handle it
fear,oh my god i overslept i was supposed to be on the set a half an hour ago i gotta get out of here
sadness,forever
neutral,no there are great pictures of you standing next to a guy who s going like this
neutral,hey you guys guess what
fear,no wait look look im sorry its just ive never even
neutral,oh all right
disgust,i know he s too charming but if you two start going out then it s just gonna make it so much harder for me to hate him
fear,what should i wear now i m all nervous
surprise,oh
fear,well it s just the reason that i m asking is because i kind of eh uh i was unable to i mean i really wanted to but i couldn t
surprise,should i not have told you
sadness,wow i m never gonna have that feeling again am i
fear,joey joey something feels weird and not good weird i don t whoa
joy,yeah
surprise,oh here it is ooh joey why did you sign it son of a bitch
fear,where are you leslie
disgust,oh that is so sick
sadness,some little girl loaned her uniform to her nineteen year old sister who went down to the u s s
neutral,thank you just make yourself comfortable
disgust,so we finally get to the top of the mountain and airhead here forgets the camera
non-neutral,ow no woo hooing no woo hooing
disgust,well thats different my lie didnt make one of us a felon in states what were you thinking
surprise,there you are
non-neutral,i don t know my mother spent most of her money on her fourth wedding
joy,but you didnt
disgust,look i know it must be hard that your wife is a lesbian but it s wrong you re married
non-neutral,you are so bad
disgust,oh oh i think i m gonna throw up a little bit what did you say
neutral,so you re playing a little
non-neutral,okay no the important thing is that you see what i m saying yknow just yknow this is clearly wrong
sadness,stop it chandler i m sorry too
sadness,i didn t know you and carol were getting divorced i m sorry
surprise,oh god
sadness,i just saw danny getting on the subway with a girl and he had his arm around her
surprise,what joey got a turkey stuck on his head
anger,what a wank
neutral,all right lets go pheebs
non-neutral,i i can t help you
non-neutral,we just broke up first thing she does
non-neutral,oh god crazy chandler he spun me off the bed
joy,hey guys guys did you see my new china cabinet
sadness,flight s in an hour i i gotta go
anger,i don t care you just get him
surprise,ooohhhh
fear,kinda spooky without any lights
non-neutral,who am i gonna meet in a blackout
anger,uh huh well but umm still i m i m mad at you
disgust,you have no idea how loud they are
non-neutral,hey now that was an accident okay
non-neutral,i am hurt a plague on both your houses
disgust,im joan collins
fear,come on pick up pick up
surprise,whoa whoa whoa slow down you go
non-neutral,yeah he doesn t like me
neutral,honey you re not gonna make enough money to help frank and alice just by selling knives
sadness,well sid and i are trying again and we had trouble last time because apparently we
surprise,how do you do that
sadness,i know no no yknow you don t deserve this you don t ross
anger,oh please you wanted to get caught
fear,terrified
sadness,yeah i know
joy,hey
anger,if i can t have it you can t have it
neutral,y know when we move in together can i get a gumball machine
neutral,hey did i do these neat enough
disgust,oh no oh no oh no oh no no no no
sadness,oh totally oh god oh she seemed so happy too
sadness,well can you at least stay to the end of the play
neutral,is
joy,okay this is it were gonna get married
disgust,no i do not care what my hormones are doing i am not going to just do it with some random guy
neutral,and just to be on the safe side dr wells wanted a more comprehensive overview of you status so he sent me
surprise,phoebe what are you doing
disgust,oh that s sweet don t touch me
joy,plus y know i love you guys and and it would really mean a lot to me
surprise,oh what what was it
disgust,what are you crazy
surprise,he forgot to leave his grip size
anger,what makes you think that im just gonna sleep with her and then blow her off
anger,and don t you follow me
non-neutral,i have never known love like this
neutral,hi
neutral,i don t have a key they took mine to give to you
fear,i i keep hearing all these rumors that i might get fired
joy,no i came here to tell you something else i came here to tell you i still love you
joy,ohhh that is soo sweet
neutral,no
neutral,okay we have a lot of options here a number of prototypes for you to try on
fear,look please please dont go anywhere okay
neutral,so just bring it back downstairs what s the problem
neutral,which by the way is the real san francisco treat i got her machine
sadness,nothing like it in this lifetime money in the bank so rachel and i broke up
sadness,i have and i remember this part vividly a mouthful of pumpkin pie and this is the moment my parents choose to tell me theyre getting divorced
anger,get in here
neutral,yeah
sadness,i m just saying that y know someday ross is gonna meet somebody and he s gonna have his own life right
sadness,oh god i m sorry about this
anger,oh my god go away stop looking in here
disgust,i don t know but maybe if we keep that drawer shut it ll die
sadness,anyway she didn t want to stay
neutral,hey joey what would you do if you were omnipotent
sadness,i guess i just figured that somewhere down the road we would be on again
disgust,that s horrible well you did the right thing man
non-neutral,what uh oh
neutral,no
non-neutral,ow
surprise,what
anger,i don t care the wires have come loose in your head
surprise,what are you doing here
fear,maybe they can take the needle and thquirt it into my mouth you know like a thquirt gun
non-neutral,it s just so frustrating why doesn t she want my breast
joy,all i could think of was y know is he gonna kiss me is he gonna kiss me
neutral,well they go into the chipper
anger,listen the number that you gave me that is their old number
surprise,rachel well you you re not at home you re you re you re right here
surprise,oh god
anger,and i wanna know why
non-neutral,you are ideally suited for a career in data processing for a large multinational corporation
fear,youd tell me if you were moving out right
surprise,what
fear,i know i know and he totally freaked out and i can t find him anywhere
anger,oh who should i blame the nice bell man who had to drag out luggage to different rooms
disgust,you know what where he hugs you and kinda rolls you away and oh my god
neutral,oh all right
surprise,wow oh it looks like ross is breaking up with her
neutral,im afraid i cant let you do that joe
sadness,yes and he said really mean things that were only partly true
joy,ah ahh ahh
sadness,i mean she she thinking everything oh that s now me
fear,umm i ve been thinking i m just gonna come out and say it
disgust,and shame on all of you
surprise,what are you guys doing together
fear,listen can you promise me that you won t tell her though
neutral,sorry about that so what have you been up to
surprise,really
fear,exactly so you didn t didn t mention anything to issac right
non-neutral,i mean i love i love this little guy
sadness,umm ma am do you have a minute i kind of have some bad news i don t think i can move to tulsa
joy,i already feel like i know you a little better
anger,fine
fear,oh no no no no no no
disgust,well lets just say the impressions you made in the butter left little to the imagination
joy,monica you gonna be very proud of me i just got us dates with two unbelievably cute nurses
disgust,okay goodbye
fear,yeah joe i assure you if im staring down the barrel of a gun im pretty much peeing every which way
non-neutral,hi
anger,oh not again
sadness,yes but i wanted you to want to live with me but okay if youre having so much fun over here
joy,i m on time
sadness,you re you re really you re so good
anger,y know boyfriends and girlfriends come and go but this is for life
sadness,in that um they dont
disgust,and youre not supposed to be gossiping
non-neutral,oh god ross i cannot do this
anger,well up yours too
neutral,i mean it s bad enough that i m in love with my roommates girlfriend which by the way i think she knows
non-neutral,all right all right i m coming over and i m bringing chinese food
surprise,chandler s gone again
fear,du du i wrote it i wrote it on the board
sadness,she knows and she won t tell me
sadness,i m sorry ugh pheebs you were you were right about her y know she
joy,thank you oh joey and look at this crib it s so cute
non-neutral,here we go again
disgust,we hate that guy
fear,but ben is coming over tonight and he can t see this
neutral,this is just about tonight
neutral,okay wait wait
anger,how do you expect me to stay calm
sadness,will the stable boy never get the princess
fear,oh no my parents have never seen me drunk that they know of
anger,but i told you i didn t have the time
disgust,all right look if you insist on wearing that in public y know you re gonna spend the rest of the afternoon all by yourself
neutral,bad things happen to me anyway
non-neutral,i m the lead in mac and c h e e s e
anger,dude you don t have to brag we got nothing here
non-neutral,right here
neutral,hey i m with you he even asked me if i thought you d go out with him
disgust,no no no i wouldn t do you myself i mean that would be weird
fear,no you cant friends hooking up is a bad idea
joy,nine months from now we can be here having our own baby
sadness,sorry pheebs
surprise,bumpy
fear,what am i going to do
neutral,hey ross it s joey there s a hooker over here and we thought maybe you d know something about it
joy,thank you ross
anger,no
fear,but theyre not here yet
joy,hey
fear,noo oh it s okay it s okay baby baby baby
anger,hey hey y know what
anger,dont make me do this again i dont like my voice like this
non-neutral,oh my god look look he s taking off her clothes
disgust,okay this isnt working im still awake and now i have to pee
non-neutral,she loves sandwiches sports although she is a met fan not much of an issue now but if we were ever to have kids well that s a
surprise,ah he can t make it he said he had to his whoa oh
disgust,no you kidding the guys a freak
surprise,what
joy,oh aint this nice its so quiet i could just lie here all day
neutral,all good thanks do you maybe have a nickname have like a nickname that s easier to rhyme
anger,you had no relationship
surprise,oh my god
joy,hi hey
anger,no
non-neutral,well i i might ve said supergay
sadness,im sorry man i tired i really did
neutral,but i can t tell you
joy,of course he s gonna have his uncle joey
joy,i see pizza
fear,oh no no i can t do that
non-neutral,when this day is over you get to go home with the baby ok
fear,brenda a bee
anger,im not a dropper
disgust,then why are you smoking
disgust,i wanna see what s in your hand i wanna see the trash
non-neutral,oh come on we just had this huge fight all right don t i have to wait a while
neutral,look monica
joy,well you said that you had customers lined up in the street so i am here to entertain
sadness,and i i am just trying to figure out why
fear,look i never should have kissed your girlfriend but i m
non-neutral,yeah were better off without them
neutral,i mean it s like every guy i see i mean look here
neutral,yeah its in there
anger,you know what else i m not gonna miss
anger,you sick freak who does that i cant believe i had a crush on you
surprise,ow ow
fear,no ross ross ross my child has no father
sadness,oh i wish there was something i can do to make you feel better
non-neutral,can you believe it i mean dont i seem like somebody who should be doing something really
fear,uh oh
surprise,well when jake did it i saw that he was wearing women s underwear
non-neutral,but when we were in high school i made out with james farrell even when i knew that you liked him
neutral,yes
sadness,i mean i remember a time when
surprise,somebody went to college wow what is it i m sorry
disgust,hi uh nothing that horrible woman just took my machine
neutral,we will take a moonlit walk on the rue de la
anger,i don t care
joy,hi
sadness,so long vic
sadness,look i just saw my best friends brains smeared across the canvas that s not gonna be me not me
disgust,okay i hear you are you capable of talking about any thing else
anger,all right thats thats it get off her
joy,yeah i love you okay bye hi
non-neutral,yeah i know its ridiculous i cant see you either
anger,pizza we like pizza get out
fear,oh i can t watch this
sadness,okay good bye good bye
neutral,so see ya on saturday
surprise,what they wanted a scary story
neutral,ohh you guys remember that cute client i told you about i bit him
neutral,hey rachel isnt that stuff almost pure
neutral,yknow if youre gonna work late i could look in on him for you
fear,its all good okay bye bye mon shes shes gonna kill me
joy,with them i m one hot chicky
fear,sweetheart just gimme gimme another chance okay well start all over again well go back to aruba
non-neutral,all right i just got changed in thirty seconds so you can be alone with him youd better go for it
surprise,my god okay ha ha ha beat ya sucker
anger,cut me a real piece
non-neutral,he is so weird
neutral,i ll be there
fear,whatre we gonna do whatre we gonna do
neutral,i want to keep one
joy,see ya phoebe oh and hey thanks for chipping in
non-neutral,its like like shes the princess and im the stable boy why are you doing this huh
joy,hey
surprise,were in a relationship
anger,son of a bitch
surprise,hey me too
anger,i thought i told you to get outta here
surprise,how can i
surprise,what s this
sadness,sorry
disgust,youre making a big mistake here
sadness,i m sorry
non-neutral,oh im still mad at them but i also now that they bring happiness to lots of kids whos moms didnt kill themselves so by supporting them im doing a good thing but im not
sadness,y know i know that i said that i am totally okay with ross getting married but as it turns out i don t think i m handling it all that well
joy,i know i found it on the street
fear,let her know i like her
anger,i don t have time for this
neutral,ok who wants to hear something ironic
surprise,are you kidding
fear,that was alices mom she said she left five hours ago she should be here by now
joy,i can t believe you re getting married
non-neutral,it was the ring
non-neutral,oh god
joy,ooh phoebe s here okay let s turn out all the lights and we ll just watch the movie
sadness,okay i m sorry
joy,hi
neutral,hello
surprise,its still there
surprise,whoa what why
disgust,ugh monica i know about you and chandler
neutral,i really thought you making a good point i mean yknow until you got cut off
non-neutral,but it is a big deal i have to tell someone
non-neutral,things happen and they happen
surprise,what
disgust,ew what is that something exploded
neutral,well it does not ring a bell with me
surprise,what
neutral,well you know you have to take a course otherwise they dont let you do it
joy,oh that s so exciting
fear,i i i have to tell you something
fear,uh oh bruiser has becker on the canvas and is going for his favourite area
anger,you invite my brother you invite my whole family and not me
surprise,excuse me
sadness,don t go
joy,hey there little fella
joy,and you get all these like mental images in your brain you know like elle macpherson or that girl at the xerox place
anger,come on
joy,sweetie with you it s gonna be different the sex is gonna be great cause you you guys are in love
disgust,hey lady i dont care how much you want it okay i am
neutral,all right well i just cant think about that right now i just wanna say good bye to my grandma
fear,no no no we gotta go come on here we go
surprise,flying a jet
anger,i dont need this right now ok
non-neutral,ohh ohh
neutral,no no it was the candles
non-neutral,i mean we we told joey he cried his eyes out
non-neutral,its okay to laugh right
disgust,you freak
anger,bastard
anger,look
non-neutral,could tonight be the night
sadness,im sorry honey i promise it will never happen again
anger,hi is my misery amusing to you
fear,the charitys on fire
sadness,aww pheebs that sucks
surprise,the ring is gone
non-neutral,sophie would you please climb out of my butt why hasn t he called rachel why
surprise,ohh
sadness,so if you wear that you ll make mine less special
non-neutral,ahh no
disgust,about a month ago this guy spent the night with rachel i didn t see who it was but
sadness,im okay i gotta go down to the police station and look at mug shots
joy,thats great
sadness,sure i feel so bad for you i broke my leg once too
joy,i can t believe you re gonna ask monica to marry you
joy,well maybe we will oh
anger,i ll do it without you
neutral,even when i found out umm all right well lets just say i found something out something about someone and lets just say shes gonna keep it
neutral,can i help you
fear,you ve got to get out of here save yourself
surprise,what
surprise,i licked my arm what
disgust,oh wait joey you can t go like that you stink
non-neutral,oh i know
anger,of course not it smells like wine which you spilled and thanks for wrecking my sheet by the way
neutral,huh what s fish hooking thanks man that would have been really hard to describe what is that taste
joy,oh oh im a duck i go quack quack i m happy all the time
joy,push
neutral,that s bill clinton
disgust,no i don t
surprise,why
neutral,what
sadness,ohh i lost my mom to suicide
sadness,the doctor says its a matter of hours
sadness,no me i am so sorry
anger,oh yes there is
fear,i mean have you seen a car come by here in the last hour and a half
neutral,tag
disgust,oh my god ohh that is it i m leaving you are just a horrible person
non-neutral,yeah
joy,i bet it has a great story behind it too
sadness,i cant believe that ross is gone it is just so sad
surprise,oh my god you re a year old virgin
neutral,yeah he s the reason i didn t get that big
joy,everybody smile okay thanks a lot enjoy your stay at
neutral,phoebe we re getting
surprise,oh i so cant believe this my uterus is an inhospitable environment i was trying so hard to be a good hostess
surprise,whoa
sadness,oh honey come on i m sorry i didn t
anger,ohh phoebe this is all your fault now he loves her he s gonna marry her and this is all your fault
fear,come on guys i i really want this guy to like me
sadness,i i wasn t in that
sadness,listen i ah i gotta say good bye and and i gotta say it quick cause this is killing me
disgust,dont you realise what youre youre doing to yourself
surprise,eh monica it it feels so weird yknow chandler s your friend oh
anger,did you get all this stuff for joey to try and drive me out of the apartment
non-neutral,oh so forget about the birds but big red insects suggest fine dining
neutral,what
anger,i mean enough of the silliness
fear,i ve kinda of had this ah this crush on you
joy,i know
fear,help
anger,my fault you threatened the judge
sadness,i can get out joey i have too but then i lose my nerve and i always finish with go to the bathroom
anger,cause i dont need your stupid ship
sadness,oh see now i feel bad for the kid
disgust,ugh
surprise,wow that s exciting you went to japan made up a woman
non-neutral,and ross with his over pronouncing every single word
surprise,oh my god monica s gonna go out with a millionaire
sadness,i tried to reach you at work there s been a fire
neutral,all right i see what you guys are saying ill uh ill go downstairs and fill out an application
sadness,bye chandler i miss you already
surprise,oh really
sadness,umm listen i am sorry but i ll put some out first thing in the morning
fear,uh pheebs some people call that breaking and entering
fear,by then the cheesecake may have gone bad we don t want her to come back to bad cheesecake
non-neutral,well maybe it s so big because the house was built on radioactive waste
non-neutral,the front page you really do live in your own little world don t ya
non-neutral,this is not going to work
fear,well i i said yes
surprise,the weirdest thing happened at the coffee house i think i think phoebe was hitting on me
disgust,okay hating this
surprise,man can you believe hes only had sex with one woman
fear,sur surprise him were not were not gonna make anybody mad are we
non-neutral,guys
disgust,yeah hate him
joy,oh oh that s great
joy,yes she s gonna help us take care of the baby woo hoo
sadness,oh poor lily
joy,he is so cute
non-neutral,i did but the store wouldn t take her back so then i took her to the shelter and you know what i found out
anger,you dont even know me
non-neutral,oh stop it joey already told me
surprise,four hours you guys have been doing this for four hours
anger,in a minute
neutral,but i was just thinking that since those guys just got engaged that maybe it would be nice if they had some privacy y know
disgust,ohh get a room
joy,um the matador ole ha ha ha
anger,it was my quarter
anger,that almost hit me in the face
disgust,i mean look at him look at you
sadness,oh my god we are throwing the most depressing baby shower ever
disgust,rachel its not that your friend is bad its that shes so bad she makes me want to put my finger through my eye into my brain and swirl it around
surprise,whoooaa
sadness,oh i wanna quit but then i think i should stick it out then i think why would such a person stay in such a demeaning job just because it s remotely related to the field they re interested in
anger,it s clint
disgust,oh no
sadness,oh i know
sadness,okay i m sorry
surprise,you know it
non-neutral,all the time
fear,take whatever you want just please don t hurt me
surprise,what s fish hooking
neutral,yeah like that thought never entered my mind
surprise,the uh the baby that hasnt been born yet wouldnt that mean youre crazy
disgust,yeah yeah you go talk to your friend you tell him nice try
sadness,oh please he ll be with his real family the twins and little miss new boobs
joy,oh oh oh i ll get rainy day bear
sadness,but you ve got things you have to do now and so do i
surprise,oh i thought you guys got married in uh january
surprise,hi and youre going into what grade
surprise,wow how do you know how to do that
joy,that s a dog every house should have a dog
anger,fine i m mentally unstable
neutral,ah just one other thing
neutral,yeah
anger,please this is so your fault
sadness,and to go from that to this i just plus i d have to wait on all my friends
sadness,were sorry pheebs were sorry
joy,yeah i feel kinda bad for them but i m also really psyched cause i don t have to move in here
non-neutral,get out of here you lurker go on get
neutral,so uh you re not gonna be able to live here for a while you ladies have a place to stay
sadness,god it s gonna so weird like when i come home and you re not here
disgust,you re marinara sauce tasted like tomato juice
fear,and i need to flip the light switch on and off times before i leave a room or my family will die
non-neutral,pheebs
anger,shes living my life and shes doing it better than me
surprise,what what
fear,thanks but i kinda have a problem to deal with here
neutral,hi remember us
sadness,well i i got this blinding pain in my stomach when i was lifting weights before then i uh passed out and uh haven t been able to stand up since
joy,hey
sadness,cause carol s a lesbian and and i m not one and apparently it s not a mix and match situation
disgust,oh ew
non-neutral,oh yeah um alright i kinda need a divorce
anger,oh you re kidding me
non-neutral,would you please go
fear,did she call you you told her i was sick right always tell her i am sick
anger,go get back on that case honey
fear,shes not gonna make you wear one of those big plastic cones is she
neutral,you wanna you wanna grab some coffee
non-neutral,no no no no
joy,id like to propose a toast
sadness,what i m just said
