emotion,utterance
non-neutral,oh so forget about the birds but big red insects suggest fine dining
non-neutral,hmm soup i mean noodle soup i mean soup
disgust,all right fine dont do anything just sit here and talk to us meanwhile she is talking to him about you
joy,plus y know i love you guys and and it would really mean a lot to me
fear,wait wait wait wait wait wait wait wait
disgust,no we hate him
neutral,well actually uh there was something we wanted to tell you about the wedding
neutral,okay we have a lot of options here a number of prototypes for you to try on
fear,honey i swear i wasn t looking at her
joy,all right there are no questions in the happy place okay just the warm breeze and the moonlight flowing through the trees
neutral,oh
neutral,no no to test his neck strength
anger,it s not even a song
neutral,oh
surprise,what do you what do you mean
disgust,no no no i wouldn t do you myself i mean that would be weird
anger,come on man youve been here all day
fear,are you really gonna do this
fear,just hear me out
sadness,it took me years to find one man that i wanna spend my life with if i have to wait another years then ill be before i can have a baby and thats just stupid
sadness,i kinda feel like its my fault
anger,oh my god chandler the one you picked is gone it s over
fear,oh boy i just cant watch its too scary
neutral,okay it ll take just a little while to prepare the embryos
surprise,really
non-neutral,yeah
anger,and were not a couple of suckers
anger,i thought i told you to get outta here
non-neutral,but it is a big deal i have to tell someone
fear,sure now i m scared
sadness,its a money thing we dont have any
disgust,close shes got her tongue in his ear
disgust,okay this isnt working im still awake and now i have to pee
joy,tulsa is heaven
neutral,no
joy,they call me cookie dude
sadness,this is the worst christmas ever
neutral,yeah umm that s whitney kyle s ex wife out there now do you think that you can y know divert her so that we can slip out
sadness,i m sorry i didn t i don t come in here a lot
anger,i can t believe i did this what an idiot
non-neutral,i don t know my mother spent most of her money on her fourth wedding
anger,thats it
surprise,i can t believe it
anger,i could play the oboe
disgust,you slept with somebody three hours after you thought you broke up i mean bullets have left guns slower
joy,he is so cute
disgust,this place is so overpriced
surprise,flying a jet
fear,f hah flennin
joy,oh good
sadness,david the scientist guy david that i was in love with david who went to russia and broke my heart david
sadness,i am so sorry
surprise,okay that s why you didn t want me to touch him right
non-neutral,oh god
non-neutral,so anyway um his head is like flopping down broadway right and im just thinking how inappropriate this is
surprise,ahhh
fear,it it it s no big deal all right i m i m cool
anger,i could ve been killed i hope you know
sadness,ohh okay i m sorry
surprise,am i naked again
anger,go
non-neutral,no no no no one can beat me
joy,yeah
joy,well you promised me a fun road trip
surprise,he forgot to leave his grip size
joy,richards living room drinking wine
sadness,i m sorry i thought i could do it and i can t
non-neutral,did you not hear me say du ude
anger,enough
non-neutral,well i ve forgotten what it tastes like okay
joy,oh i just wanted to say hey
surprise,what are you doing here
disgust,im like those women that you see with shiny guys named chad
anger,horny bitch no you re a horny bitch noooo you re the horny bitch no you re a horny bitch
sadness,joey i can t stand the thought of having this baby with you mad at me
fear,no no you can t you can t okay you can t you can t buy her pearls you just can t you can t you can t
anger,you dont even know me
non-neutral,its like like shes the princess and im the stable boy why are you doing this huh
neutral,oh you go out with him
anger,what kind of father do you think i am
disgust,no no how you doing man i mean not even a cup of coffee first
non-neutral,no no no it s flattery
surprise,my god okay ha ha ha beat ya sucker
neutral,but i can t tell you
disgust,or else youre pretending that youre seeing somebody which just makes you so pathetic that i could start crying right here in the cereal aisle
joy,hey
disgust,noo
anger,hi i m rachel is my sweater too tight no oh i d better wash it and shrink it
disgust,ugly naked guys laying kitchen tile eww
neutral,and
disgust,oh my god stu i i can t believe you did this now are you absolutely sure she s a hooker
neutral,well heres your phone doctor
surprise,oh you re serious sure
non-neutral,all right well i guess i gotta go get a job i m gonna go see my agent
neutral,what are you writing
joy,hi joey its jane rogers cant wait for your party tonight
joy,monica you gonna be very proud of me i just got us dates with two unbelievably cute nurses
disgust,god i feel violated
joy,you re loyal you re honest and you have integrity
disgust,you sound like a guy
surprise,hey listen lady whoa
joy,okay this is it were gonna get married
anger,okay well my girl from the other night was special she was a scientist too
disgust,ugh
fear,terrified
anger,noo i don t care i m not i m not gonna playing one on one strip poker with you for practice
disgust,the next time you want to dump a fire alarm in a trash chute don t wrap it in a blanket that says property of phoebe buffay not monica
joy,hello one marriage please
neutral,yeah
joy,yeah yeah and if i get it by day i ll dr drake remoray but by night i ll be joey trrrribbiani
neutral,joey if i go first i wanna be looking for my keys
neutral,honey you re not gonna make enough money to help frank and alice just by selling knives
non-neutral,i have never known love like this
sadness,forever
joy,yep we wanna get married
sadness,great monica yknow what you couldve called i have been up here ive been worried
fear,uh oh
sadness,okay i uh i cant see you anymore
sadness,yeah me too
sadness,ohh that s too bad
joy,thats fun
non-neutral,well she ll understand right it s not like i did it on purpose
surprise,oh my god wh what happened
joy,yeah baby
disgust,that s a good idea dear janice have a hubba bubba birthday i would like to get her something serious
anger,oh my god go away stop looking in here
fear,i dont know you guys
anger,chandler we have talked about this
surprise,sweety what are you talking about
non-neutral,oh between you telling him that i wanted to have a fling and me putting out on the first date oh he s so gonna get the wrong idea
fear,du du i wrote it i wrote it on the board
neutral,i think you ve made such a nice home for her over the last nine months that she just doesn t want to leave
anger,no the quiet down thing
anger,hey ross i told you i don t
fear,whatre we gonna do whatre we gonna do
joy,okay you hard worker i ll remember to put that in your evaluation
anger,uh huh well but umm still i m i m mad at you
anger,i don t care the wires have come loose in your head
surprise,why
joy,well maybe we will oh
neutral,oh hi ju hi jew
neutral,no no it was the candles
surprise,yeah hi mark
disgust,what are you talking about mindy the guy is the devil hes satan in a smock
non-neutral,the front page you really do live in your own little world don t ya
disgust,how rude
neutral,thank you im going to rejoin my dinner party
surprise,what s going on
surprise,maybe
surprise,oh i knew it what happened
joy,thank you ross
fear,but the audition s in a couple hours and i don t even understand the game
non-neutral,no no no no
sadness,yeah well umm
disgust,all right
neutral,okay
sadness,yeah i m fine
surprise,wow oh it looks like ross is breaking up with her
disgust,what the hell s a matter with you
disgust,oh aint that nice the three of you trying on slutty lingerie together
neutral,then we can put you in bed okay
surprise,you can
sadness,i just saw danny getting on the subway with a girl and he had his arm around her
non-neutral,will you marry me
disgust,pheebs wake up and smell the restraining order
disgust,man we gotta do something about that guy
non-neutral,okay because i know that this is my father
joy,hi
anger,no
surprise,okay ow ow oh oh
fear,you are really frightening me
surprise,uh huh wow well look there s frank
joy,you have to tell her
disgust,okay goodbye
sadness,i i wasn t in that
joy,oh that s okay i can t wait to see everything again all of the memories
non-neutral,oh god
non-neutral,okay i m running out of places i can touch him
disgust,you see that guy he s in classics now but yknow as soon as we leave he s going straight to the porn
disgust,no
joy,okay
joy,bwah hah hah
joy,do it
non-neutral,listen phoebe
sadness,no me i am so sorry
sadness,this poor guy s been in a coma for five years it s hopeless
surprise,should i not have told you
fear,no no wait wait i can t just let you hang up just please talk to me
neutral,because every time i look at that cover i m like
sadness,i m sorry
neutral,i am
neutral,hey ross it s joey there s a hooker over here and we thought maybe you d know something about it
surprise,god
disgust,youre one to talk
anger,ohh ho hooohhh the hair comes out and the gloves come on
fear,okay okay okay should i be scared
neutral,oh all right
sadness,your good heart rach and and
anger,i don t have time to convince you because he s only here for four hours and i m gonna go see him
sadness,what can i do one person wants to break up you break up
surprise,what happened in atlantic city
fear,by then the cheesecake may have gone bad we don t want her to come back to bad cheesecake
non-neutral,how needy do i want to seem
non-neutral,oh my god oh my god
surprise,youre nose is bleeding
surprise,really
non-neutral,i have to pee and rachels in the bathroom
anger,hey i did not dump rachel nor are we still together can i just why don t we just let the machine get that
joy,oh wow you look great glad you could make it
disgust,you bought your sheets at a flea market ross come on you gotta loosen the purse strings a little
neutral,yeah i can just go home and get back at him by myself
disgust,yeah that s what i drive i make four bucks an hour i saved up for years
surprise,what are you doing here
joy,let s also get a hot plate
surprise,the weirdest thing happened at the coffee house i think i think phoebe was hitting on me
anger,and you i throw myself at you and you say no how gay are you
fear,you tell her jack i can t do it
joy,great okay here
disgust,oh yeah first off all chasing the churo guy isnt jogging
non-neutral,well i don t understand why adrienne s attracted to victor
disgust,yeah well next thing you know he ll be telling you that your high heels are good for his posture
surprise,what what what is it
sadness,oh totally oh god oh she seemed so happy too
joy,i can t believe you re gonna ask monica to marry you
joy,i must say its nice to see you back on your feet
disgust,wo women you mean like old women
sadness,its awful i know i mean i feel terrible but i have to do this if i want my marriage to work
non-neutral,yeah thats the same as it has something to do with wind
disgust,and youre not supposed to be gossiping
anger,look
fear,yes yes yes i did but but it was it was just a one night thing it meant nothing
surprise,its still there
neutral,date of birth
joy,rach you re in a great place in your life come on you ve got a great job good friends
fear,i i i have to tell you something
non-neutral,i didn t i never said that
anger,big deal
non-neutral,remoray
joy,wow nice manly and also kind of a slut
non-neutral,hey
anger,well we ll see
joy,hey
fear,no no sir umm she means a lot to me i mean i care i i love rachel
fear,im telling you somethings wrong my brother does not stay out all night
joy,you know the song sing along
fear,bob
fear,no ross ross ross my child has no father
fear,you dont think theyll judge and ridicule me
disgust,what we did was wrong oh god i just had sex with somebody that wasnt alive during the bicentennial
fear,i mean have you seen a car come by here in the last hour and a half
neutral,so see ya on saturday
non-neutral,hey look this name has been holding me back my entire life
non-neutral,all right let s do it
neutral,oh y know what
non-neutral,well neither do i
non-neutral,you had fantasies about emily
disgust,no it was painful oh my god they should call it pain zine now with a little wax
surprise,toby oh for gods sake i dont know what shes talking about
fear,im not fine here she comes
anger,you said i was boring ohh
anger,ross if you don t tell them then i will
neutral,can i help you
joy,oh oi ho yeah
sadness,i know i know but can we please try it again huh i mean you were
anger,not after this
anger,no drinks near the bucket
joy,ohh and the nicest girlfriend
non-neutral,a stripper at a bachelor party that is so clich why dont you get a magician
surprise,whoa
disgust,yeah yeah you go talk to your friend you tell him nice try
anger,don t call us that
joy,well i m gonna fill in for him as food critic for the chelsea reporter
surprise,ow ow contraction ow ow ow ow
neutral,hey mikey
non-neutral,all the time
anger,what are you still doin here i told you lobster ravioli
disgust,you freak
non-neutral,hey buddy are you familiar with section b of the health code that requires all refuse material out the
anger,get out
joy,hey
fear,oh god
surprise,no way
non-neutral,there s nothing to handle
neutral,why would i tell him
disgust,i mean what the hell is that thing
sadness,it s one more thing in my life that s suddenly completely different
neutral,well not much has changed in the last five minutes
joy,ah ahh ahh
non-neutral,things happen and they happen
non-neutral,no hey i get that okay i get that big time
fear,can we please focus here a naked man s life hangs in the balance
non-neutral,he is so weird
sadness,the empty vase is not about you my baby you make me so sad that you would think this
joy,oh cmon shes a person you can do it
fear,what
joy,hi joey its jane rogers cant wait for your party tonight
surprise,oh
non-neutral,thats funny who are they
fear,no no no we gotta go come on here we go
disgust,weve got the ground up flesh of formerly cute cows and turkeys ew
surprise,im not crazy right i mean it was never like that
neutral,ah it s still not the time
sadness,you wouldve liked it
fear,listen i uh it s a scary world out there especially if you re a single mom
fear,no no rachel don t get it he can t see us
non-neutral,yknow she d say no but here we are
sadness,im sorry man i tired i really did
non-neutral,pheebs
disgust,ohh get a room
anger,and i m happy for ya but i m tired of having a relationship with your answering machine
surprise,i know
anger,no
fear,no no no no no you cant
surprise,apparently there s like a million guys out there that can play mac and there s only this one robot and this one guy who controls it
sadness,i am so sorry i spilled wine all over your shirt
sadness,well sid and i are trying again and we had trouble last time because apparently we
sadness,i have and i remember this part vividly a mouthful of pumpkin pie and this is the moment my parents choose to tell me theyre getting divorced
non-neutral,you are so bad
anger,well she graduated from high school
disgust,oh no no wait that s weird
sadness,i know you probably don t want to go out with me y know because i make too many jokes and i ve never been in a serious relationship and i guess i m not technically a doctor
surprise,oh no where to too paris
surprise,phoebe what what happened here
non-neutral,i can t do it
surprise,yeah
non-neutral,he is right isn t he
anger,out
sadness,okay i don t know what to do anymore
disgust,and hes being mr joe sensitive and she starts thinking maybe this is the guy for me because he understands me
joy,great go get him
neutral,ennnh
anger,yknow hey you re the one who ended it remember
anger,ring dammit ring
joy,they look great does your boyfriend have the best taste or what
neutral,i mean it s like every guy i see i mean look here
neutral,what
sadness,sorry
non-neutral,oh ross you re right i don t know why i always thought this was real grass
non-neutral,hey how do you guys get anything done
surprise,bobs a mom
surprise,fantastic i have one question how is that possible
anger,y know boyfriends and girlfriends come and go but this is for life
non-neutral,no you didnt you said you would but you never did
joy,that s great good for you guys
non-neutral,oh stop it joey already told me
fear,i can t live like this what are we gonna do what are we gonna do
non-neutral,let s go big bunny
neutral,so i though about what you said and i though about what he said and well his way i get to have sex tonight so
surprise,hey me too
neutral,hey you guys guess what
anger,oh sure i am because you always have to be right
anger,it was my quarter
fear,let her know i like her
fear,okay see now i m scared because i don t actually think you re kidding
disgust,i m torn between my integrity and my desire to avoid a beating but i must be honest your soap is abysmal
fear,alright you guys we can t turn on each other okay that s just what she wants
sadness,umm listen i am sorry but i ll put some out first thing in the morning
disgust,i mean look at him look at you
sadness,hi ben so you wanna be an actor huh i gotta tell ya its no picnic theres tons of rejection
disgust,why dont we just put poor little tooty out in the hall
non-neutral,my wife s a lesbian
sadness,i m sorry i m so sorry
sadness,cause shes shes alone now and pregnant and and sad
sadness,nothing like it in this lifetime money in the bank so rachel and i broke up
disgust,yeah well you wouldnt think it was cool if youre eleven years old and all your friends are passing around page of mistress bitch
joy,i actually feel like i m going on a real date
fear,oh uh i actually came here to ask you out
anger,like like like i did something terrible to you
fear,shh get me out of here
neutral,you wanna you wanna grab some coffee
anger,stop callin
disgust,do you have any respect for your body
disgust,all right look if you insist on wearing that in public y know you re gonna spend the rest of the afternoon all by yourself
non-neutral,here we go again
neutral,im afraid i cant let you do that joe
non-neutral,well y know i m i mean who needs a savings account
surprise,these pants are burning up
anger,no
joy,well now i get to spend my shower with the only people i really love
sadness,sorry
joy,kinda but i ve just been having way too much fun
fear,oh uh
disgust,i don t even know the man okay we re not that close i haven t seen him in years
disgust,so rocks
anger,hey hey hey thats not the rule and you know it
disgust,oh classy
neutral,gimme this
joy,yeah
neutral,yknow we work in a museum of natural history and yet there is something unnatural about the way we eat lunch
fear,no you cant friends hooking up is a bad idea
joy,how ya doin welcome good to see ya
neutral,yeah
surprise,oh my god that s david
joy,remember when we went to central park and rented boats that was fun
surprise,he asked you out
joy,me too
sadness,the doctor says its a matter of hours
joy,you guys were totally right
neutral,all right i see what you guys are saying ill uh ill go downstairs and fill out an application
fear,it s it s too soon
non-neutral,ross is so crazy about you and i really wanted you to like me and its probably me being totally paranoid but i kinda got the feeling that maybe you dont
anger,that kid really kicked me hard on the plane
joy,we have so much in common
neutral,i ll do it
disgust,whats with her
joy,dum dum dum dum dum dum dum dum dum dum
anger,that almost hit me in the face
surprise,what why
anger,arent we a little old for this
anger,yeah
disgust,does that smell bother you
sadness,ooh i miss dating
anger,bastard
surprise,it was like months ago
neutral,how about we talk about this over dinner
joy,ooh great thanks
neutral,hi
fear,no that could kill her
surprise,what
neutral,so you re playing a little
sadness,and then maybe they re gonna have to leave the city to be near a
neutral,and uh and david over there i heard he doesn t wear a cup
surprise,oh my god i can t believe this is a real check oh this is just so exciting
neutral,hello joey
anger,no you guys i am not getting in a car with him you ll have to think of something else
neutral,hold it hold it
disgust,did anybody else feel they just wanted to peel the skin off their body to have something else to do
surprise,uh wow
sadness,i can t
neutral,but i was just thinking that since those guys just got engaged that maybe it would be nice if they had some privacy y know
fear,somebody wanna help me tryin to rip out my heart uh thats great anybody seen a nipple
anger,i don t have time for this
non-neutral,what uh oh
anger,and i wanna know why
anger,because i sure as hell can t figure it out
disgust,i ate a bug
neutral,okay here s batch
neutral,yeah its in there
sadness,you missed you re chance
disgust,well lets just say the impressions you made in the butter left little to the imagination
anger,hey hey y know what
fear,okay all right don t judge me to much
anger,fine here take a hike toots
surprise,hi and youre going into what grade
non-neutral,oh crap
fear,dude what am i gonna
neutral,if you have the big apartment you have to deal with people coming over all the time
fear,no don t i beg of you
sadness,you re right i m sorry
joy,ohhh that is soo sweet
disgust,and shame on you
sadness,she knows and she won t tell me
anger,but i told you i didn t have the time
fear,maybe they can take the needle and thquirt it into my mouth you know like a thquirt gun
sadness,yeah but i didn t get to see it
surprise,what why joey you were so ready for it
neutral,i ll be there
neutral,y know when we move in together can i get a gumball machine
surprise,excuse me
joy,pizza delivery
sadness,dont get your hopes up guys we only get to see her from the back or from the neck up
surprise,what
joy,yeah i m gonna have a baby i m gonna have a baby i m gonna have a baby
non-neutral,dude what are yo you trying to kill me
surprise,man can you believe hes only had sex with one woman
anger,and you can leave the hurt bunny look over there too
surprise,what
fear,oh now daddy stay calm please
surprise,oh god
neutral,hey youre not rich are ya
disgust,yeah i dont like that word
sadness,ok ok so youre not a fan but i mean come on you cannot do this to her
anger,no but you shouldnt dont ever do that again
anger,okay see that blind guy right there im gonna bash his head in later
anger,and stop using my name
disgust,oh well that s what i thought about my first husband now i m lucky if my kid gets to spend the weekend with her father and the twins and little ms new boobs
non-neutral,well basically lately ive uh ive uh sort of had feelings for you
disgust,eh yknow what she s to political she probably wouldn t let you do it unless you donated four cans of food first
sadness,ohh and i don t even have a date
joy,you re the first guest at hotel monica
joy,hey
joy,id like to propose a toast
disgust,that s weird
non-neutral,okay could you just stop talking for a second yemen that s right yes i m being transferred to yemen
fear,that s funny does it does it hurt does the labor hurt
non-neutral,ezels
fear,kinda spooky without any lights
non-neutral,phoebe knows and shes just trying to freak us out thats the only explanation for it
disgust,we hate that guy
anger,are you kidding me joey joey joey joey joey joey joey joey joey joey
joy,yes
neutral,well they go into the chipper
joy,there he is
surprise,oh my god are you kidding
disgust,okay lady youre out of here
joy,that s right you lose sucker please still marry me
joy,all right i ll have a sandwich
surprise,i cant believe youd rather go out with him than me
neutral,oh i i have plans tonight
sadness,cause all i ever get to do now is pregnant stuff it just bums me out
sadness,i m sorry
anger,well why don t think of someone else for a change
sadness,so do you think you can forgive me
neutral,all good thanks do you maybe have a nickname have like a nickname that s easier to rhyme
disgust,yeah hate him
joy,howdy partner
non-neutral,now i gotta be careful
sadness,ben i want you to know that there may be some times when i may not be around like this
sadness,in that um they dont
non-neutral,oh dad really you don t need to
neutral,im back
neutral,hi sorry i m late were you sleeping
surprise,is he crazy you just had ross s baby
non-neutral,get out of here you lurker go on get
non-neutral,shes also a scientist so shes very smart and pretty and well its actually because of you really that were together i mean i saw what you had with that mike guy and i just said boy i want that
sadness,yeah
disgust,oh no
fear,i want her to think i might be in a restaurant yknow
fear,please please we just dont want to deal with telling everyone okay just promise you wont tell
neutral,yknow if youre gonna work late i could look in on him for you
anger,look this is my home and i want to be able to come and go whenever i want
neutral,yeah
fear,oh joey dont
fear,dont say it
neutral,i have a question about this scene
sadness,im sorry
non-neutral,ahh nooo
joy,ho ho you win dollars
surprise,david what what are you doing here aren t you supposed to be in russia
disgust,save it red unless you wanna spend the night in the slammer you apologize to the tree
disgust,you re marinara sauce tasted like tomato juice
non-neutral,oh maybe these ll taste a little like your grandmother s
anger,damnit
fear,no i mean no not you not you you you
surprise,oh my god are you serious
non-neutral,we were playing chess you said i was boring and then you took off your energy mask and you were cameron diaz
disgust,oh so youre saying youd choose convenience over health
sadness,i can get out joey i have too but then i lose my nerve and i always finish with go to the bathroom
anger,she broke my arm
neutral,well half a brownie
neutral,thank you just make yourself comfortable
sadness,yeah but
joy,go go go
non-neutral,oh i know
anger,you apologize to the tree right now or i am calling for backup backup backup
fear,please right now no every time i see him it s like is it on the lose is it watching me
joy,little toast here ding ding
fear,take whatever you want just please don t hurt me
anger,dude if you go back out there you re gonna be dead ross
anger,cut me a real piece
surprise,what what
disgust,oh well don t take it to the same place you took the stereo cause they ve had that thing for over a week
joy,thanks for letting me stay here i mean monica s place was nice but her fianc e sure stares a lot
non-neutral,or incredibly offensive
disgust,we are bad people
sadness,it s too complicated with you and rachel and the baby i i just it just wasn t meant to be
fear,what am i going to do
sadness,hey uh i m really really sorry about what happened in the cafeteria today
sadness,oh that s too bad i ve kinda been saving up uh are you sure there s no studies i can participate in
anger,oh my god where the hell have you been
joy,yeah
non-neutral,that sounds great
sadness,i dont want to be single okay i just i just i just wanna be married again
joy,um the matador ole ha ha ha
anger,i don t care about your dad i care about mona she was there and now she s totally freaked out
surprise,what it s o clock
surprise,you do that every year
surprise,oh really
disgust,dad please don t pick your teeth out here
disgust,she sells drugs to kids
sadness,ye ye yeah yes i do
joy,oh wow uh yeah that sounds great i m just gonna put this back in my pocket pretend
joy,did that
surprise,you really think it would be that different
neutral,women love guys who love babies
disgust,pheebs this guy has been obsessed with your sister for god knows how long okay you dont just give up something like that
surprise,oh barry come on this is all way too
neutral,y know what i think it is
neutral,i just i feel i i just
neutral,we will take a moonlit walk on the rue de la
surprise,oww joey she just kicked me
non-neutral,oh sure i m sure
joy,lets go
non-neutral,no it s uh my ex wife whitney is out there i cannot deal with her right now that woman is crazy
sadness,oh honey come on i m sorry i didn t
sadness,that s not how that was supposed to come out
non-neutral,oh yeah if you re gonna make me choose between you and the hat i choose the hat
fear,umm i ve been thinking i m just gonna come out and say it
non-neutral,i m just doing it to get back at ross
fear,uh oh
sadness,i m sorry i m sorry i m sorry
disgust,you two will have very hairy children
non-neutral,oh god ross i cannot do this
anger,what about my children drake huh no no no god
fear,come on pick up pick up
surprise,really
anger,and if and if you don t understand how important this is to me well then perhaps we shouldn t get married at all
joy,yeah
joy,oh oh that s great
fear,ross umm youve been in there for a long time im starting to get kinda freaked out
surprise,why
non-neutral,ha ha it s not my baby ha ha ha
fear,oh no could i get anyone a coffee or poison no just for me okay
disgust,including umm evil bitch and uh sick bastard
neutral,no i ve just always wanted to do that can you help me clean this up
disgust,cause you re a little princess daddy buy me a pizza daddy buy me a candy factory daddy make the cast of
fear,four please i m really nervous thank you
disgust,rachel its not that your friend is bad its that shes so bad she makes me want to put my finger through my eye into my brain and swirl it around
joy,hey so estelle lined up a bunch of auditions for me tomorrow and i ll have my health insurance back in no time
fear,was it my work were they mad was it jack did he yell
disgust,i dont care if you are my brother
neutral,my brother the phd would like to know if theres any way to treat this orally
sadness,then she ll have to come back here and live all alone
surprise,you really like it
fear,this is a freaky place
disgust,will you grow up im not talking about sexy stuff but like when im cooking naked
anger,im just gonna go over there and confront them right now
sadness,i mean why am i only attracted to guys where there s no future
non-neutral,i know it sounds crazy but chandler this is the greatest sandwich in the world
anger,now look i deserve to know where i came from
sadness,i can never kiss you again when its all i can do not to kiss you right now
anger,stop going through my stuff
fear,look confident
anger,go little boy go
joy,tomorrow night it is then i should be out of court by six
disgust,well you should be embarrassed
sadness,yknow what the saddest part is when we were playing together that was like the most fun i ve ever had in like all my lives
surprise,i don t know how any of these got opened
joy,sure
joy,me too
sadness,well i kinda wanted to sell the cookies the girl who sells the most wins a trip to spacecamp and gets to sit in a
sadness,oh god i m sorry about this
joy,yes
joy,hi
fear,i i keep hearing all these rumors that i might get fired
surprise,the ring is gone
surprise,what
joy,nine months from now we can be here having our own baby
disgust,dude you are sick
surprise,you told her before you told us
sadness,anyway she didn t want to stay
fear,well she walked in when i was looking at the ring brochures you can understand that right guys guys
joy,hey there little fella
fear,what did what did he say
sadness,because its impossible to find her apartment she lives in some like of hot girl parallel universe or something
neutral,hi okay don t be mad at me but i couldn t resist
joy,hey how s my pal toby doing today
sadness,now i look around this cafeteria and y know what i see i see i see division
neutral,is
non-neutral,oh
sadness,good bye monica i wish you a lifetime of happiness with him
surprise,look
non-neutral,we just broke up first thing she does
neutral,listen i know you wanted to talk to me but i have an idea that may make you want to stay married we register and
sadness,thanks
non-neutral,i know my grandmother s gonna see this
surprise,wow that was good that was tweezers
surprise,no
sadness,bye chandler i miss you already
sadness,well the old lady died
non-neutral,he obviously lost his mind
non-neutral,come on more
non-neutral,oh well that s great so i guess this is ah this is good bye then huh good bye
anger,oh my god i love ross i hate ross i love ross i hate ross
fear,but i really think i can do it i m just gonna need some help
